MLS_ID,Property_Type,Price,Bedrooms,Bathrooms,City,Postal_Code,Features
100043,Semi-Detached,806319,4,2,Ottawa,L8P 1A1,"Pool, Garage, Fireplace"
100044,Semi-Detached,659489,3,2,Mississauga,M5H 2N2,"Modern Kitchen, Pool"
100045,Semi-Detached,578462,5,4,Hamilton,L8P 1A1,"Backyard, Fireplace, Finished Basement"
100046,Townhouse,360754,2,2,Mississauga,K1A 0B1,"Modern Kitchen, Fireplace, Pool"
100047,Townhouse,545586,4,3,Ottawa,L5B 3Y3,"Hardwood, Pool, Fireplace"
100048,Townhouse,1379707,2,3,Hamilton,L8P 1A1,"Pool, Backyard, Fireplace"
100049,Semi-Detached,1006979,3,4,Mississauga,K1A 0B1,"Backyard, Pool, Hardwood, Finished Basement"
100050,Semi-Detached,535560,2,2,Brampton,L5B 3Y3,"Backyard, Deck, Pool"
100051,Condo,1255055,5,1,Mississauga,L5B 3Y3,"Fireplace, Hardwood, Deck"
100052,Detached,806295,5,4,Ottawa,K1A 0B1,"Finished Basement, Garage, Modern Kitchen"
100053,Detached,1170711,2,4,Hamilton,L6T 1R2,"Finished Basement, Backyard, Modern Kitchen"
100054,Condo,1270523,5,1,Mississauga,M5H 2N2,"Modern Kitchen, Fireplace, Garage, Pool"
100055,Semi-Detached,721674,5,3,Brampton,K1A 0B1,"Hardwood, Fireplace, Backyard, Modern Kitchen"
100056,Semi-Detached,578495,5,1,Ottawa,K1A 0B1,"Modern Kitchen, Backyard, Fireplace, Hardwood"
100057,Semi-Detached,754309,3,1,Ottawa,L5B 3Y3,"Modern Kitchen, Finished Basement, Hardwood, Garage"
100058,Semi-Detached,1464771,5,3,Mississauga,K1A 0B1,"Pool, Backyard"
100059,Detached,1282300,4,1,Hamilton,M5H 2N2,"Deck, Finished Basement"
100060,Semi-Detached,851548,4,1,Brampton,L8P 1A1,"Backyard, Deck, Hardwood"
100061,Detached,879685,3,1,Toronto,L8P 1A1,"Backyard, Finished Basement, Garage"
100062,Condo,1137193,5,4,Brampton,L8P 1A1,"Fireplace, Garage"
100063,Condo,1437052,4,4,Toronto,K1A 0B1,"Garage, Hardwood, Backyard"
100064,Condo,619518,4,4,Toronto,K1A 0B1,"Pool, Modern Kitchen, Fireplace, Deck"
100065,Semi-Detached,721602,3,4,Brampton,L6T 1R2,"Deck, Garage"
100066,Townhouse,1082084,5,4,Mississauga,M5H 2N2,"Backyard, Pool, Deck"
100067,Townhouse,888226,2,4,Mississauga,L5B 3Y3,"Hardwood, Deck"
100068,Semi-Detached,1188367,3,3,Ottawa,L6T 1R2,"Fireplace, Backyard, Hardwood, Deck"
100069,Townhouse,1260295,1,3,Ottawa,L6T 1R2,"Deck, Pool, Fireplace, Finished Basement"
100070,Condo,721494,2,4,Hamilton,M5H 2N2,"Deck, Pool"
100071,Townhouse,1444314,1,1,Ottawa,K1A 0B1,"Finished Basement, Pool, Garage"
100072,Condo,465117,1,3,Brampton,K1A 0B1,"Backyard, Deck"
100073,Townhouse,439201,1,4,Ottawa,L5B 3Y3,"Finished Basement, Garage, Pool, Backyard"
100074,Condo,420632,3,1,Hamilton,L8P 1A1,"Finished Basement, Deck, Garage"
100075,Detached,471083,1,3,Brampton,K1A 0B1,"Deck, Hardwood"
100076,Detached,824191,4,3,Mississauga,M5H 2N2,"Modern Kitchen, Pool"
100077,Semi-Detached,1070993,3,2,Brampton,L5B 3Y3,"Finished Basement, Garage, Pool, Backyard"
100078,Townhouse,1329086,5,2,Brampton,L5B 3Y3,"Pool, Hardwood"
100079,Semi-Detached,970889,1,4,Ottawa,L6T 1R2,"Hardwood, Pool, Fireplace"
100080,Semi-Detached,1076571,1,2,Hamilton,L5B 3Y3,"Modern Kitchen, Pool, Garage, Hardwood"
100081,Semi-Detached,1441713,5,2,Hamilton,L6T 1R2,"Fireplace, Finished Basement"
100082,Detached,905182,4,3,Mississauga,L6T 1R2,"Modern Kitchen, Garage, Hardwood"
100083,Semi-Detached,1468213,4,2,Ottawa,L5B 3Y3,"Garage, Pool, Hardwood, Modern Kitchen"
100084,Semi-Detached,921612,3,4,Ottawa,L5B 3Y3,"Hardwood, Modern Kitchen, Finished Basement"
100085,Detached,1308028,2,1,Mississauga,L5B 3Y3,"Pool, Deck, Garage, Backyard"
100086,Townhouse,446784,3,2,Mississauga,L6T 1R2,"Garage, Modern Kitchen"
100087,Detached,1369518,4,3,Ottawa,L5B 3Y3,"Finished Basement, Deck, Modern Kitchen, Pool"
100088,Condo,373375,1,3,Hamilton,M5H 2N2,"Garage, Fireplace"
100089,Condo,1047945,2,1,Mississauga,M5H 2N2,"Hardwood, Fireplace, Backyard, Pool"
100090,Townhouse,652526,4,2,Brampton,L5B 3Y3,"Pool, Backyard, Modern Kitchen, Finished Basement"
100091,Detached,1329383,4,3,Mississauga,K1A 0B1,"Deck, Hardwood"
100092,Townhouse,1236054,2,1,Toronto,L5B 3Y3,"Pool, Hardwood, Deck"
100093,Condo,951287,3,1,Hamilton,L6T 1R2,"Finished Basement, Garage, Pool"
100094,Townhouse,491403,1,1,Mississauga,K1A 0B1,"Pool, Backyard"
100095,Semi-Detached,949403,1,3,Brampton,L8P 1A1,"Deck, Garage, Pool"
100096,Townhouse,1119166,3,1,Hamilton,L8P 1A1,"Pool, Finished Basement, Backyard"
100097,Condo,779254,4,3,Mississauga,M5H 2N2,"Garage, Hardwood"
100098,Condo,1427239,3,1,Hamilton,M5H 2N2,"Pool, Modern Kitchen"
100099,Detached,1261535,1,1,Hamilton,L5B 3Y3,"Finished Basement, Modern Kitchen, Deck, Pool"
100100,Semi-Detached,900549,3,4,Mississauga,L6T 1R2,"Deck, Garage, Modern Kitchen"
100101,Townhouse,830263,4,4,Toronto,K1A 0B1,"Modern Kitchen, Hardwood"
100102,Condo,525786,4,3,Toronto,L5B 3Y3,"Backyard, Finished Basement"
100103,Townhouse,761628,1,1,Brampton,K1A 0B1,"Deck, Backyard, Fireplace"
100104,Townhouse,812495,5,4,Ottawa,L5B 3Y3,"Modern Kitchen, Backyard, Finished Basement, Pool"
100105,Condo,1096492,1,3,Ottawa,K1A 0B1,"Pool, Modern Kitchen"
100106,Semi-Detached,1314323,5,2,Ottawa,L8P 1A1,"Finished Basement, Pool, Hardwood"
100107,Townhouse,1254954,2,2,Mississauga,L8P 1A1,"Deck, Hardwood, Modern Kitchen"
100108,Condo,1110089,5,3,Mississauga,K1A 0B1,"Backyard, Finished Basement, Modern Kitchen"
100109,Condo,818003,1,3,Ottawa,L6T 1R2,"Deck, Pool"
100110,Condo,656419,1,4,Hamilton,L5B 3Y3,"Hardwood, Garage"
100111,Townhouse,500739,2,4,Ottawa,K1A 0B1,"Deck, Garage, Hardwood"
100112,Semi-Detached,971973,3,4,Ottawa,L6T 1R2,"Deck, Garage, Hardwood"
100113,Condo,995967,4,2,Ottawa,M5H 2N2,"Fireplace, Finished Basement"
100114,Condo,961685,2,2,Ottawa,L5B 3Y3,"Garage, Hardwood, Pool"
100115,Condo,1461704,3,2,Toronto,K1A 0B1,"Finished Basement, Pool, Backyard"
100116,Semi-Detached,1200822,3,1,Brampton,L6T 1R2,"Modern Kitchen, Fireplace, Garage"
100117,Detached,1052004,2,4,Toronto,K1A 0B1,"Pool, Hardwood"
100118,Semi-Detached,1049185,4,1,Toronto,L6T 1R2,"Backyard, Modern Kitchen, Hardwood"
100119,Detached,515984,2,2,Mississauga,L8P 1A1,"Garage, Deck"
100120,Townhouse,1273693,3,2,Toronto,L5B 3Y3,"Hardwood, Finished Basement, Backyard, Garage"
100121,Semi-Detached,1109498,1,4,Mississauga,L8P 1A1,"Deck, Backyard, Finished Basement, Hardwood"
100122,Condo,710759,1,1,Hamilton,L8P 1A1,"Deck, Finished Basement"
100123,Townhouse,360428,2,4,Brampton,L5B 3Y3,"Backyard, Deck"
100124,Condo,1468941,4,2,Toronto,K1A 0B1,"Fireplace, Deck"
100125,Detached,628238,3,4,Toronto,L8P 1A1,"Deck, Modern Kitchen"
100126,Townhouse,543989,3,4,Hamilton,K1A 0B1,"Deck, Finished Basement, Pool, Modern Kitchen"
100127,Semi-Detached,1153218,5,1,Brampton,L6T 1R2,"Backyard, Pool, Hardwood"
100128,Detached,1215770,2,2,Toronto,L5B 3Y3,"Fireplace, Deck"
100129,Condo,1083533,4,1,Mississauga,L5B 3Y3,"Backyard, Fireplace, Deck"
100130,Townhouse,465575,5,1,Brampton,K1A 0B1,"Deck, Pool, Backyard"
100131,Detached,1350986,5,1,Toronto,M5H 2N2,"Pool, Garage"
100132,Condo,1337840,3,4,Toronto,L8P 1A1,"Modern Kitchen, Hardwood, Fireplace"
100133,Detached,634992,3,3,Hamilton,M5H 2N2,"Deck, Backyard, Garage"
100134,Semi-Detached,1273403,3,2,Mississauga,M5H 2N2,"Deck, Hardwood, Garage"
100135,Condo,1262550,1,4,Hamilton,L6T 1R2,"Finished Basement, Deck, Fireplace"
100136,Condo,1302927,3,1,Mississauga,K1A 0B1,"Modern Kitchen, Backyard, Garage"
100137,Townhouse,533006,5,1,Hamilton,K1A 0B1,"Pool, Finished Basement"
100138,Townhouse,1310121,1,3,Mississauga,L6T 1R2,"Hardwood, Garage"
100139,Condo,418769,1,2,Toronto,M5H 2N2,"Finished Basement, Garage, Hardwood"
100140,Detached,378654,5,4,Toronto,K1A 0B1,"Hardwood, Backyard, Pool, Fireplace"
100141,Townhouse,1030201,5,2,Ottawa,L5B 3Y3,"Backyard, Deck, Modern Kitchen"
100142,Detached,848448,4,4,Brampton,L5B 3Y3,"Hardwood, Pool, Garage, Finished Basement"
100143,Townhouse,1404394,2,3,Ottawa,M5H 2N2,"Deck, Garage, Fireplace, Pool"
100144,Detached,640834,3,4,Hamilton,M5H 2N2,"Backyard, Fireplace, Garage"
100145,Semi-Detached,1407825,1,1,Ottawa,L5B 3Y3,"Pool, Fireplace"
100146,Detached,459557,3,2,Brampton,L6T 1R2,"Deck, Pool, Backyard, Hardwood"
100147,Semi-Detached,653356,3,3,Hamilton,L8P 1A1,"Hardwood, Backyard, Fireplace"
100148,Detached,1228119,3,1,Toronto,L8P 1A1,"Backyard, Hardwood, Deck"
100149,Townhouse,479271,4,2,Toronto,L8P 1A1,"Fireplace, Pool, Hardwood, Finished Basement"
100150,Condo,1197121,2,4,Brampton,L8P 1A1,"Garage, Pool, Modern Kitchen, Fireplace"
100151,Detached,1259417,4,2,Brampton,L8P 1A1,"Hardwood, Garage, Modern Kitchen"
100152,Detached,1023647,3,1,Brampton,L8P 1A1,"Backyard, Fireplace"
100153,Townhouse,1199474,1,1,Hamilton,L8P 1A1,"Fireplace, Backyard"
100154,Detached,1490060,3,3,Brampton,L5B 3Y3,"Deck, Garage, Pool, Backyard"
100155,Semi-Detached,433650,2,1,Toronto,M5H 2N2,"Garage, Finished Basement"
100156,Detached,1403864,5,4,Toronto,K1A 0B1,"Hardwood, Garage"
100157,Semi-Detached,767764,4,2,Brampton,M5H 2N2,"Pool, Garage, Modern Kitchen, Fireplace"
100158,Townhouse,355535,2,2,Toronto,K1A 0B1,"Backyard, Garage, Finished Basement, Modern Kitchen"
100159,Detached,1372490,2,3,Toronto,K1A 0B1,"Modern Kitchen, Fireplace, Hardwood, Finished Basement"
100160,Detached,430047,2,1,Toronto,L8P 1A1,"Modern Kitchen, Fireplace, Garage"
100161,Detached,822014,4,3,Hamilton,M5H 2N2,"Deck, Finished Basement, Garage"
100162,Condo,911949,1,4,Ottawa,L6T 1R2,"Modern Kitchen, Backyard, Fireplace"
100163,Townhouse,501294,2,1,Ottawa,K1A 0B1,"Modern Kitchen, Garage, Deck"
100164,Detached,488182,1,1,Toronto,M5H 2N2,"Garage, Backyard, Finished Basement, Fireplace"
100165,Semi-Detached,1105491,5,1,Mississauga,L5B 3Y3,"Garage, Pool"
100166,Townhouse,1169721,4,4,Mississauga,L5B 3Y3,"Hardwood, Pool"
100167,Condo,654177,5,3,Hamilton,K1A 0B1,"Deck, Garage, Pool"
100168,Townhouse,456109,3,1,Ottawa,L6T 1R2,"Modern Kitchen, Pool, Hardwood, Finished Basement"
100169,Condo,1093368,4,2,Ottawa,L8P 1A1,"Modern Kitchen, Deck, Hardwood, Fireplace"
100170,Detached,426894,1,1,Mississauga,L6T 1R2,"Pool, Hardwood"
100171,Townhouse,688492,5,3,Ottawa,M5H 2N2,"Fireplace, Backyard"
100172,Townhouse,892469,2,1,Brampton,K1A 0B1,"Deck, Garage, Backyard, Pool"
100173,Semi-Detached,892996,5,1,Mississauga,K1A 0B1,"Fireplace, Garage"
100174,Townhouse,1071401,3,3,Mississauga,M5H 2N2,"Modern Kitchen, Finished Basement, Fireplace, Backyard"
100175,Detached,963475,4,1,Toronto,L6T 1R2,"Backyard, Fireplace, Modern Kitchen, Deck"
100176,Townhouse,424585,5,2,Mississauga,M5H 2N2,"Deck, Garage, Hardwood, Finished Basement"
100177,Townhouse,1237737,2,4,Hamilton,K1A 0B1,"Modern Kitchen, Deck"
100178,Detached,1313831,1,4,Toronto,K1A 0B1,"Deck, Garage, Pool"
100179,Townhouse,658404,5,1,Toronto,L6T 1R2,"Garage, Hardwood"
100180,Townhouse,995408,1,2,Toronto,L6T 1R2,"Pool, Deck"
100181,Detached,922853,1,4,Toronto,K1A 0B1,"Pool, Modern Kitchen"
100182,Semi-Detached,406596,2,2,Hamilton,K1A 0B1,"Finished Basement, Backyard, Deck"
100183,Detached,921397,4,1,Hamilton,L6T 1R2,"Hardwood, Fireplace, Pool"
100184,Townhouse,457976,4,2,Hamilton,L8P 1A1,"Hardwood, Fireplace, Pool"
100185,Semi-Detached,397574,3,2,Mississauga,K1A 0B1,"Pool, Deck, Modern Kitchen, Backyard"
100186,Condo,698537,5,3,Ottawa,M5H 2N2,"Garage, Hardwood, Deck"
100187,Detached,654441,4,1,Brampton,K1A 0B1,"Garage, Fireplace"
100188,Semi-Detached,369546,1,4,Ottawa,L5B 3Y3,"Hardwood, Garage"
100189,Townhouse,423735,1,1,Brampton,K1A 0B1,"Pool, Modern Kitchen, Deck"
100190,Detached,1388392,5,4,Hamilton,L8P 1A1,"Garage, Pool, Hardwood"
100191,Condo,1464935,2,2,Toronto,K1A 0B1,"Finished Basement, Garage, Modern Kitchen"
100192,Condo,547170,4,3,Mississauga,L8P 1A1,"Pool, Finished Basement, Garage"
100193,Condo,1000582,3,1,Brampton,L5B 3Y3,"Pool, Garage, Finished Basement, Fireplace"
100194,Townhouse,1006089,5,1,Brampton,L6T 1R2,"Modern Kitchen, Hardwood"
100195,Condo,1095408,5,1,Hamilton,L5B 3Y3,"Finished Basement, Modern Kitchen, Hardwood, Fireplace"
100196,Semi-Detached,687963,1,3,Toronto,L6T 1R2,"Pool, Garage, Fireplace"
100197,Condo,1235277,5,3,Toronto,L5B 3Y3,"Pool, Finished Basement, Garage, Fireplace"
100198,Detached,1419788,1,2,Brampton,K1A 0B1,"Deck, Modern Kitchen, Hardwood, Fireplace"
100199,Detached,1386627,4,3,Toronto,K1A 0B1,"Hardwood, Garage, Pool"
